AL,Y,OL,P,AC,OC,A,T,Pot,Ovr,N
Serie A,2010,Other,CF,Tier_3,Tier_4,U25,10Mto1M,75to84,65to74,SA
Serie A,2014,Other,CF,Tier_2,Tier_4,U30,10Mto1M,75to84,65to74,SA
Primera Division,2013,1 Bundesliga,LB,Tier_3,Tier_2,U25,10Mto1M,65to74,65to74,SA
Primera Division,2015,Primera Division,LB,Tier_1,Tier_3,U25,10Mto1M,65to74,65to74,SA
Serie A,2010,Other,CB,Tier_2,Tier_4,U21,10Mto1M,85above,65to74,SA
Primera Division,2017,Serie A,CB,Tier_3,Tier_1,U30,10Mto1M,75to84,65to74,SA
Liga Nos,2010,Other,LW,Tier_1,Tier_4,U25,10Mto1M,75to84,65to74,SA
Primera Division,2016,Liga Nos,LW,Tier_1,Tier_1,U30,40Mto10M,75to84,65to74,SA
Liga Nos,2010,Other,CB,Tier_1,Tier_4,U25,10Mto1M,75to84,65to74,SA
Primera Division,2014,Liga Nos,CB,Tier_1,Tier_1,U30,40Mto10M,75to84,75to84,SA
Premier League,2015,Ligue 1,CB,Tier_1,Tier_1,U30,80Mto40M,85above,75to84,SA
Premier League,2014,Premier League,CF,Tier_1,Tier_2,U30,10Mto1M,65to74,65to74,SA
Premier League,2010,Other,CAM,Tier_3,Tier_4,U25,10Mto1M,75to84,65to74,SA
Primera Division,2010,Primera Division,GK,Tier_2,Tier_4,U30,Below1M,75to84,65to74,SA
Premier League,2014,Primera Division,GK,Tier_1,Tier_2,A30,10Mto1M,75to84,65to74,SA
1 Bundesliga,2014,Other,LB,Tier_2,Tier_4,U25,10Mto1M,75to84,65to74,SA
Liga Nos,2011,Premier League,LB,Tier_2,Tier_1,U25,10Mto1M,75to84,65to74,SA
Primera Division,2012,Liga Nos,LB,Tier_1,Tier_2,U25,10Mto1M,75to84,65to74,SA
Premier League,2011,Primera Division,CF,Tier_1,Tier_1,U25,40Mto10M,85above,75to84,SA
Liga Nos,2011,Other,CM,Tier_1,Tier_4,U25,10Mto1M,75to84,65to74,SA
Primera Division,2014,Liga Nos,CM,Tier_1,Tier_1,U30,40Mto10M,75to84,75to84,SA
Serie A,2011,Other,CB,Tier_1,Tier_4,U25,10Mto1M,75to84,65to74,SA
Premier League,2014,Serie A,CB,Tier_2,Tier_1,U25,10Mto1M,75to84,75to84,SA
Premier League,2018,Premier League,CB,Tier_1,Tier_2,U30,10Mto1M,75to84,75to84,SA
Liga Nos,2011,Primera Division,CB,Tier_1,Tier_1,U25,10Mto1M,85above,75to84,SA
Premier Liga,2014,Liga Nos,CB,Tier_1,Tier_1,U30,10Mto1M,85above,75to84,SA
Primera Division,2016,Premier Liga,CB,Tier_1,Tier_1,U30,40Mto10M,75to84,75to84,SA
Serie A,2011,Ligue 1,CB,Tier_2,Tier_3,U30,Below1M,75to84,65to74,SA
Serie A,2011,Other,RB,Tier_2,Tier_4,U25,10Mto1M,75to84,65to74,SA
Serie A,2011,Other,LW,Tier_1,Tier_4,U25,10Mto1M,75to84,65to74,SA
Primera Division,2011,Primera Division,LW,Tier_1,Tier_4,U25,10Mto1M,85above,65to74,SA
Primera Division,2017,Ligue 1,LW,Tier_3,Tier_1,U30,10Mto1M,75to84,75to84,SA
Serie A,2011,Other,LW,Tier_2,Tier_4,U21,10Mto1M,75to84,65to74,SA
Serie A,2015,Serie A,LW,Tier_1,Tier_2,U25,40Mto10M,85above,75to84,SA
Premier League,2016,Serie A,LW,Tier_2,Tier_1,U25,40Mto10M,75to84,75to84,SA
Serie A,2011,Other,RW,Tier_1,Tier_4,U21,40Mto10M,75to84,below65,SA
Premier League,2013,Serie A,RW,Tier_1,Tier_1,U21,40Mto10M,85above,75to84,SA
Primera Division,2011,Other,CAM,Tier_2,Tier_4,U25,10Mto1M,85above,75to84,SA
Primera Division,2012,Primera Division,CAM,Tier_3,Tier_2,U25,10Mto1M,75to84,75to84,SA
Ligue 1,2011,Other,LB,Tier_2,Tier_4,U25,10Mto1M,65to74,65to74,SA
Ligue 1,2012,Ligue 1,LB,Tier_1,Tier_2,U25,10Mto1M,75to84,65to74,SA
Serie A,2013,Ligue 1,LB,Tier_3,Tier_1,U30,10Mto1M,75to84,65to74,SA
