AL,Y,OL,P,AC,OC,A,T,Pot,Ovr,N
Primera Division,2016,Primera Division,CAM,Tier_1,Tier_3,U25,Below1M,75to84,65to74,EU
Ligue 1,2019,Primera Division,RW,Tier_1,Tier_1,U30,40Mto10M,75to84,75to84,EU
Liga Nos,2011,Other,LB,Tier_3,Tier_4,U21,10Mto1M,75to84,65to74,EU
Premier League,2014,Primera Division,CM,Tier_1,Tier_1,U30,40Mto10M,85above,85above,EU
Premier League,2011,Primera Division,CDM,Tier_1,Tier_1,U21,10Mto1M,75to84,65to74,EU
Premier League,2015,Premier League,CDM,Tier_1,Tier_1,U25,10Mto1M,75to84,65to74,EU
Primera Division,2011,Primera Division,CM,Tier_2,Tier_1,U30,40Mto10M,85above,75to84,EU
Premier League,2012,Primera Division,CM,Tier_1,Tier_2,U30,40Mto10M,85above,75to84,EU
Primera Division,2011,Primera Division,CM,Tier_2,Tier_1,U25,10Mto1M,75to84,65to74,EU
Primera Division,2011,Primera Division,RB,Tier_1,Tier_4,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2016,Primera Division,RB,Tier_2,Tier_1,U30,10Mto1M,75to84,75to84,EU
Primera Division,2018,1 Bundesliga,RB,Tier_3,Tier_2,A30,10Mto1M,75to84,75to84,EU
Primera Division,2011,Primera Division,RW,Tier_1,Tier_3,U25,10Mto1M,75to84,65to74,EU
Serie A,2013,Primera Division,RW,Tier_1,Tier_1,U30,10Mto1M,75to84,75to84,EU
Primera Division,2011,Primera Division,RB,Tier_3,Tier_4,U30,Below1M,75to84,75to84,EU
Premier League,2011,Primera Division,LW,Tier_3,Tier_4,U30,10Mto1M,75to84,65to74,EU
Primera Division,2011,Premier League,CM,Tier_1,Tier_2,U30,10Mto1M,75to84,65to74,EU
Serie A,2012,Primera Division,CM,Tier_1,Tier_1,U30,10Mto1M,75to84,75to84,EU
Serie A,2017,Serie A,CM,Tier_1,Tier_1,A30,10Mto1M,75to84,75to84,EU
Primera Division,2011,Primera Division,LB,Tier_2,Tier_3,U25,10Mto1M,75to84,65to74,EU
Premier League,2012,Primera Division,LB,Tier_1,Tier_2,U30,10Mto1M,75to84,65to74,EU
Primera Division,2019,Premier League,LB,Tier_2,Tier_1,A30,Below1M,75to84,75to84,EU
Primera Division,2011,Primera Division,CDM,Tier_1,Tier_3,U30,10Mto1M,75to84,65to74,EU
Primera Division,2011,Primera Division,CM,Tier_3,Tier_3,U21,10Mto1M,75to84,65to74,EU
Premier League,2014,Premier League,CM,Tier_1,Tier_3,U25,40Mto10M,75to84,75to84,EU
Primera Division,2011,Primera Division,CAM,Tier_2,Tier_4,U21,10Mto1M,85above,65to74,EU
Primera Division,2013,Primera Division,CAM,Tier_1,Tier_2,U21,40Mto10M,85above,75to84,EU
Primera Division,2011,Other,CF,Tier_3,Tier_4,U25,Below1M,65to74,65to74,EU
Primera Division,2011,Other,CAM,Tier_3,Tier_4,U25,Below1M,65to74,below65,EU
1 Bundesliga,2012,Primera Division,CB,Tier_2,Tier_1,U25,10Mto1M,75to84,65to74,EU
Primera Division,2012,Primera Division,GK,Tier_1,Tier_1,A30,10Mto1M,85above,75to84,EU
Primera Division,2012,Primera Division,GK,Tier_1,Tier_1,U30,10Mto1M,85above,75to84,EU
Primera Division,2012,Liga Nos,CB,Tier_1,Tier_2,U25,10Mto1M,75to84,65to74,EU
Premier League,2012,Ligue 1,RW,Tier_2,Tier_1,U30,10Mto1M,75to84,75to84,EU
Primera Division,2014,Other,CM,Tier_2,Tier_4,U30,10Mto1M,75to84,75to84,EU
Primera Division,2012,Ligue 1,LB,Tier_1,Tier_1,U25,40Mto10M,75to84,75to84,EU
1 Bundesliga,2012,Other,RB,Tier_1,Tier_4,U21,10Mto1M,75to84,65to74,EU
Primera Division,2013,1 Bundesliga,RB,Tier_1,Tier_1,U21,10Mto1M,75to84,65to74,EU
Primera Division,2012,Primera Division,CDM,Tier_3,Tier_2,U25,Below1M,75to84,65to74,EU
Primera Division,2012,Primera Division,CDM,Tier_3,Tier_3,U25,Below1M,75to84,65to74,EU
Primera Division,2013,Primera Division,CDM,Tier_2,Tier_3,U30,10Mto1M,75to84,75to84,EU
Primera Division,2012,Primera Division,CM,Tier_3,Tier_2,U30,Below1M,75to84,75to84,EU
Premier League,2012,Primera Division,CF,Tier_2,Tier_4,U30,10Mto1M,75to84,65to74,EU
Primera Division,2012,Primera Division,CM,Tier_4,Tier_3,U30,10Mto1M,75to84,65to74,EU
Primera Division,2012,Other,RW,Tier_3,Tier_4,U25,Below1M,65to74,65to74,EU
Primera Division,2012,Primera Division,CAM,Tier_1,Tier_4,U25,10Mto1M,75to84,below65,EU
Primera Division,2015,Other,CAM,Tier_4,Tier_4,U25,Below1M,75to84,75to84,EU
Premier League,2012,Primera Division,CB,Tier_3,Tier_4,U30,10Mto1M,75to84,65to74,EU
Primera Division,2012,Other,CB,Tier_3,Tier_4,U25,Below1M,65to74,65to74,EU
Primera Division,2013,Liga Nos,LW,Tier_2,Tier_1,U30,10Mto1M,75to84,75to84,EU
Premier League,2016,Primera Division,LW,Tier_1,Tier_2,U30,40Mto10M,75to84,75to84,EU
Primera Division,2017,Premier League,LW,Tier_1,Tier_1,U30,10Mto1M,75to84,75to84,EU
Premier League,2013,Primera Division,GK,Tier_1,Tier_1,U25,10Mto1M,75to84,65to74,EU
Serie A,2013,Serie A,CB,Tier_2,Tier_1,U21,Below1M,65to74,65to74,EU
Premier League,2013,Primera Division,CAM,Tier_1,Tier_1,U21,10Mto1M,75to84,65to74,EU
Serie A,2016,Premier League,CAM,Tier_2,Tier_1,U25,10Mto1M,75to84,65to74,EU
Premier League,2013,Primera Division,LB,Tier_1,Tier_1,U25,10Mto1M,75to84,65to74,EU
Premier League,2013,Primera Division,CM,Tier_2,Tier_1,U21,10Mto1M,75to84,65to74,EU
Serie A,2014,Premier League,CM,Tier_2,Tier_2,U21,10Mto1M,75to84,65to74,EU
Premier League,2013,Primera Division,RB,Tier_1,Tier_1,U30,40Mto10M,85above,75to84,EU
Premier League,2013,Primera Division,CB,Tier_3,Tier_1,U25,Below1M,75to84,65to74,EU
Ligue 1,2013,Liga Nos,CB,Tier_1,Tier_2,U21,10Mto1M,75to84,65to74,EU
Primera Division,2013,Other,CM,Tier_3,Tier_4,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2013,Primera Division,CM,Tier_1,Tier_1,U25,40Mto10M,75to84,65to74,EU
Primera Division,2013,Primera Division,CB,Tier_4,Tier_1,U30,Below1M,75to84,65to74,EU
Premier League,2013,Primera Division,CB,Tier_2,Tier_3,U21,10Mto1M,75to84,65to74,EU
Primera Division,2018,Premier League,CB,Tier_4,Tier_2,U30,Below1M,75to84,75to84,EU
Primera Division,2013,Other,CF,Tier_2,Tier_4,U25,Below1M,65to74,65to74,EU
Primera Division,2017,Primera Division,CF,Tier_3,Tier_4,U30,Below1M,65to74,65to74,EU
Primera Division,2013,Primera Division,RW,Tier_4,Tier_4,U25,Below1M,75to84,65to74,EU
Primera Division,2013,Primera Division,CF,Tier_3,Tier_3,U30,10Mto1M,75to84,65to74,EU
Primera Division,2013,Primera Division,CM,Tier_3,Tier_3,U30,10Mto1M,75to84,65to74,EU
Premier League,2013,Primera Division,CF,Tier_1,Tier_2,U25,10Mto1M,75to84,65to74,EU
Primera Division,2015,Premier League,CF,Tier_1,Tier_1,U30,10Mto1M,75to84,75to84,EU
Primera Division,2015,Primera Division,CF,Tier_2,Tier_1,U30,10Mto1M,75to84,75to84,EU
Primera Division,2013,Other,CF,Tier_3,Tier_4,U30,Below1M,75to84,below65,EU
Primera Division,2013,Primera Division,LW,Tier_1,Tier_4,U25,10Mto1M,75to84,65to74,EU
Primera Division,2017,Primera Division,LW,Tier_1,Tier_1,U30,40Mto10M,75to84,65to74,EU
Primera Division,2013,Primera Division,CM,Tier_1,Tier_4,U25,10Mto1M,75to84,65to74,EU
Primera Division,2018,Other,CM,Tier_3,Tier_4,U30,10Mto1M,65to74,75to84,EU
Primera Division,2013,Primera Division,LW,Tier_1,Tier_4,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2014,Primera Division,LW,Tier_2,Tier_1,U21,10Mto1M,75to84,65to74,EU
Primera Division,2017,1 Bundesliga,LW,Tier_4,Tier_2,U25,Below1M,75to84,65to74,EU
1 Bundesliga,2014,Premier League,GK,Tier_1,Tier_1,A30,10Mto1M,75to84,65to74,EU
Serie A,2015,1 Bundesliga,GK,Tier_1,Tier_1,A30,10Mto1M,75to84,65to74,EU
Serie A,2014,Premier League,RW,Tier_1,Tier_1,U21,10Mto1M,75to84,65to74,EU
Liga Nos,2014,Primera Division,LW,Tier_1,Tier_1,U30,10Mto1M,65to74,65to74,EU
Serie A,2014,Primera Division,CF,Tier_1,Tier_1,U21,40Mto10M,75to84,65to74,EU
Primera Division,2016,Serie A,CF,Tier_1,Tier_1,U25,40Mto10M,75to84,65to74,EU
Premier League,2017,Primera Division,CF,Tier_1,Tier_1,U25,80Mto40M,75to84,65to74,EU
Primera Division,2014,Primera Division,GK,Tier_3,Tier_1,U30,Below1M,65to74,65to74,EU
Premier League,2014,Primera Division,LB,Tier_1,Tier_1,U25,40Mto10M,75to84,below65,EU
1 Bundesliga,2014,Ligue 1,LB,Tier_1,Tier_1,U21,10Mto1M,75to84,65to74,EU
Ligue 1,2018,1 Bundesliga,LB,Tier_1,Tier_1,U25,10Mto1M,75to84,65to74,EU
Premier League,2014,Ligue 1,CAM,Tier_1,Tier_1,U25,10Mto1M,75to84,65to74,EU
Primera Division,2014,Primera Division,LW,Tier_3,Tier_1,U25,Below1M,65to74,65to74,EU
Primera Division,2014,Primera Division,RB,Tier_1,Tier_2,U30,10Mto1M,75to84,75to84,EU
Primera Division,2014,Primera Division,RW,Tier_1,Tier_4,U25,10Mto1M,65to74,65to74,EU
Primera Division,2015,Primera Division,RW,Tier_1,Tier_1,U25,40Mto10M,75to84,65to74,EU
Primera Division,2018,Primera Division,RW,Tier_1,Tier_1,U30,10Mto1M,75to84,75to84,EU
Liga Nos,2014,Primera Division,GK,Tier_1,Tier_3,U30,10Mto1M,75to84,75to84,EU
Primera Division,2017,Liga Nos,GK,Tier_1,Tier_1,U30,10Mto1M,75to84,75to84,EU
Premier League,2014,Primera Division,CF,Tier_1,Tier_4,U21,10Mto1M,75to84,65to74,EU
Premier League,2019,Premier League,RW,Tier_1,Tier_1,U25,40Mto10M,75to84,75to84,EU
Primera Division,2014,Other,CAM,Tier_3,Tier_4,U30,Below1M,65to74,65to74,EU
Primera Division,2014,Primera Division,CF,Tier_3,Tier_3,U30,Below1M,65to74,65to74,EU
Primera Division,2014,Primera Division,LW,Tier_3,Tier_3,U30,Below1M,75to84,65to74,EU
Liga Nos,2014,Other,CB,Tier_1,Tier_4,U21,10Mto1M,75to84,65to74,EU
Ligue 1,2015,Ligue 1,CM,Tier_1,Tier_2,U21,40Mto10M,75to84,65to74,EU
Premier League,2015,Primera Division,RW,Tier_1,Tier_1,U21,10Mto1M,75to84,65to74,EU
Premier League,2016,Premier League,RW,Tier_3,Tier_1,U21,10Mto1M,75to84,65to74,EU
Premier League,2018,Premier League,RW,Tier_2,Tier_3,U25,40Mto10M,75to84,65to74,EU
Primera Division,2015,Primera Division,CAM,Tier_3,Tier_1,U30,10Mto1M,75to84,75to84,EU
Primera Division,2015,Other,RW,Tier_3,Tier_4,U25,Below1M,75to84,65to74,EU
Primera Division,2015,Primera Division,RW,Tier_1,Tier_3,U25,Below1M,75to84,65to74,EU
Primera Division,2019,Primera Division,LW,Tier_2,Tier_1,U25,40Mto10M,75to84,75to84,EU
Liga Nos,2015,Primera Division,LB,Tier_1,Tier_1,U21,10Mto1M,75to84,65to74,EU
Premier League,2015,Primera Division,RW,Tier_1,Tier_1,U30,40Mto10M,85above,65to74,EU
Serie A,2019,Other,CF,Tier_1,Tier_4,U25,10Mto1M,75to84,75to84,EU
Ligue 1,2015,Primera Division,CM,Tier_1,Tier_2,U21,40Mto10M,75to84,65to74,EU
Primera Division,2018,Ligue 1,CM,Tier_3,Tier_1,U25,10Mto1M,85above,75to84,EU
Primera Division,2015,Primera Division,RW,Tier_1,Tier_2,U21,10Mto1M,75to84,below65,EU
Serie A,2018,Primera Division,RW,Tier_1,Tier_1,U25,40Mto10M,85above,75to84,EU
Primera Division,2015,Primera Division,RW,Tier_1,Tier_2,U25,10Mto1M,75to84,65to74,EU
Premier Liga,2016,Primera Division,RW,Tier_2,Tier_1,U25,10Mto1M,75to84,65to74,EU
Premier League,2015,Primera Division,RW,Tier_1,Tier_2,U25,10Mto1M,75to84,65to74,EU
Primera Division,2016,Premier League,RW,Tier_2,Tier_1,U25,10Mto1M,75to84,65to74,EU
Primera Division,2019,Primera Division,RW,Tier_2,Tier_2,U30,10Mto1M,75to84,75to84,EU
Premier League,2015,Serie A,CM,Tier_1,Tier_2,U25,10Mto1M,75to84,65to74,EU
Primera Division,2015,Primera Division,CF,Tier_3,Tier_1,U25,10Mto1M,75to84,65to74,EU
Primera Division,2018,Primera Division,CF,Tier_1,Tier_3,U30,40Mto10M,75to84,75to84,EU
Primera Division,2015,Other,CF,Tier_3,Tier_4,U30,10Mto1M,75to84,65to74,EU
Premier League,2016,Primera Division,CF,Tier_1,Tier_3,U30,40Mto10M,75to84,65to74,EU
Premier League,2018,Premier League,CF,Tier_1,Tier_1,U30,10Mto1M,75to84,75to84,EU
Primera Division,2019,Premier League,CF,Tier_3,Tier_1,U30,10Mto1M,75to84,75to84,EU
Primera Division,2015,Primera Division,GK,Tier_1,Tier_3,U30,10Mto1M,75to84,75to84,EU
Primera Division,2015,Primera Division,GK,Tier_3,Tier_4,U25,Below1M,75to84,65to74,EU
Primera Division,2016,Primera Division,GK,Tier_4,Tier_3,U30,Below1M,75to84,65to74,EU
Primera Division,2015,Premier League,CF,Tier_3,Tier_3,U30,10Mto1M,75to84,65to74,EU
Primera Division,2015,Primera Division,CF,Tier_1,Tier_2,U21,10Mto1M,75to84,65to74,EU
Primera Division,2015,Primera Division,GK,Tier_1,Tier_2,U30,10Mto1M,75to84,65to74,EU
Primera Division,2017,Ligue 1,GK,Tier_3,Tier_1,U30,Below1M,75to84,65to74,EU
Premier League,2015,Other,CF,Tier_1,Tier_4,U25,Below1M,65to74,below65,EU
Primera Division,2017,Premier League,CF,Tier_3,Tier_1,U25,10Mto1M,75to84,65to74,EU
Primera Division,2018,Primera Division,CF,Tier_1,Tier_3,U30,10Mto1M,75to84,65to74,EU
Primera Division,2015,Other,GK,Tier_4,Tier_4,U30,Below1M,75to84,65to74,EU
Primera Division,2015,Primera Division,LW,Tier_1,Tier_4,U21,10Mto1M,85above,65to74,EU
Primera Division,2015,Primera Division,RW,Tier_2,Tier_4,U21,Below1M,75to84,65to74,EU
Primera Division,2015,Primera Division,CB,Tier_1,Tier_3,U21,10Mto1M,75to84,65to74,EU
Ligue 1,2015,Other,CB,Tier_2,Tier_4,U25,10Mto1M,below65,65to74,EU
1 Bundesliga,2016,Other,CM,Tier_2,Tier_4,U21,10Mto1M,75to84,65to74,EU
Premier League,2016,Primera Division,CF,Tier_2,Tier_1,U25,40Mto10M,75to84,65to74,EU
1 Bundesliga,2016,Primera Division,CDM,Tier_2,Tier_1,U25,Below1M,75to84,65to74,EU
Primera Division,2018,1 Bundesliga,CDM,Tier_1,Tier_2,U25,10Mto1M,75to84,75to84,EU
1 Bundesliga,2018,Primera Division,CDM,Tier_2,Tier_1,U25,10Mto1M,75to84,75to84,EU
Ligue 1,2016,Primera Division,CF,Tier_1,Tier_1,U25,40Mto10M,85above,75to84,EU
Primera Division,2016,Primera Division,CM,Tier_1,Tier_1,U25,10Mto1M,75to84,65to74,EU
Primera Division,2016,Ligue 1,CDM,Tier_3,Tier_1,A30,Below1M,75to84,75to84,EU
Primera Division,2017,Primera Division,CDM,Tier_1,Tier_3,A30,10Mto1M,75to84,75to84,EU
Primera Division,2016,Ligue 1,CF,Tier_1,Tier_1,U25,40Mto10M,85above,75to84,EU
1 Bundesliga,2019,Primera Division,CF,Tier_1,Tier_1,U25,40Mto10M,85above,75to84,EU
1 Bundesliga,2016,Primera Division,CB,Tier_1,Tier_1,U25,10Mto1M,75to84,75to84,EU
Primera Division,2016,Primera Division,RW,Tier_2,Tier_3,U25,10Mto1M,75to84,65to74,EU
Primera Division,2016,Primera Division,CM,Tier_3,Tier_4,U30,Below1M,65to74,65to74,EU
1 Bundesliga,2016,Primera Division,CDM,Tier_1,Tier_3,U21,10Mto1M,75to84,below65,EU
Premier League,2018,1 Bundesliga,CDM,Tier_1,Tier_1,U25,10Mto1M,75to84,65to74,EU
Primera Division,2018,Premier League,CDM,Tier_2,Tier_1,U25,40Mto10M,75to84,65to74,EU
Primera Division,2016,Primera Division,RB,Tier_3,Tier_3,U25,Below1M,65to74,below65,EU
Primera Division,2019,Primera Division,RB,Tier_1,Tier_3,U30,10Mto1M,75to84,65to74,EU
Premier League,2016,Other,CB,Tier_1,Tier_4,U25,Below1M,75to84,65to74,EU
Primera Division,2016,Primera Division,CF,Tier_3,Tier_4,U30,10Mto1M,65to74,below65,EU
Primera Division,2017,Primera Division,CF,Tier_2,Tier_3,U30,10Mto1M,75to84,65to74,EU
Primera Division,2019,Primera Division,CF,Tier_3,Tier_2,U30,10Mto1M,75to84,75to84,EU
Ligue 1,2016,Other,LB,Tier_1,Tier_4,U21,10Mto1M,65to74,65to74,EU
Primera Division,2016,Primera Division,LB,Tier_3,Tier_3,U25,Below1M,75to84,below65,EU
Premier League,2018,Primera Division,LB,Tier_2,Tier_3,U25,40Mto10M,75to84,75to84,EU
Primera Division,2016,Primera Division,CDM,Tier_3,Tier_3,U25,Below1M,65to74,65to74,EU
Premier League,2017,Primera Division,RB,Tier_1,Tier_1,U25,10Mto1M,75to84,65to74,EU
Liga Nos,2017,Primera Division,CM,Tier_1,Tier_1,U25,40Mto10M,75to84,75to84,EU
Primera Division,2019,Liga Nos,CM,Tier_1,Tier_1,U25,40Mto10M,75to84,75to84,EU
Serie A,2017,Serie A,RB,Tier_2,Tier_1,U21,10Mto1M,75to84,65to74,EU
Primera Division,2017,Primera Division,LW,Tier_3,Tier_1,U25,10Mto1M,75to84,65to74,EU
Primera Division,2017,Primera Division,CB,Tier_2,Tier_1,U25,10Mto1M,85above,65to74,EU
1 Bundesliga,2017,Liga Nos,CB,Tier_3,Tier_2,U21,10Mto1M,75to84,65to74,EU
Primera Division,2017,Other,RW,Tier_3,Tier_4,U25,Below1M,75to84,65to74,EU
Primera Division,2017,Primera Division,LW,Tier_2,Tier_1,U25,10Mto1M,75to84,75to84,EU
1 Bundesliga,2017,Primera Division,CB,Tier_2,Tier_3,U25,10Mto1M,75to84,65to74,EU
Premier League,2017,Primera Division,CF,Tier_1,Tier_2,U21,10Mto1M,75to84,65to74,EU
Primera Division,2017,Primera Division,CAM,Tier_1,Tier_2,U21,40Mto10M,85above,65to74,EU
Premier League,2019,Primera Division,CAM,Tier_1,Tier_1,U25,40Mto10M,85above,75to84,EU
Primera Division,2017,Primera Division,CM,Tier_3,Tier_3,U25,Below1M,75to84,65to74,EU
Primera Division,2019,Primera Division,CM,Tier_1,Tier_3,U25,40Mto10M,75to84,65to74,EU
Primera Division,2017,Primera Division,LB,Tier_3,Tier_3,U21,Below1M,75to84,65to74,EU
Primera Division,2017,Primera Division,CM,Tier_2,Tier_3,U25,10Mto1M,75to84,65to74,EU
Primera Division,2017,Primera Division,LW,Tier_3,Tier_2,U30,Below1M,75to84,65to74,EU
Primera Division,2017,Primera Division,CM,Tier_1,Tier_2,U21,40Mto10M,85above,65to74,EU
Serie A,2017,Serie A,CF,Tier_3,Tier_3,U25,Below1M,65to74,65to74,EU
1 Bundesliga,2017,Primera Division,CF,Tier_2,Tier_3,U25,10Mto1M,75to84,below65,EU
Primera Division,2018,Ligue 1,LB,Tier_3,Tier_1,U30,40Mto10M,75to84,65to74,EU
Primera Division,2017,Primera Division,CB,Tier_3,Tier_2,U30,40Mto10M,85above,75to84,EU
1 Bundesliga,2017,Other,CAM,Tier_1,Tier_4,U21,10Mto1M,75to84,65to74,EU
Ligue 1,2017,Other,RW,Tier_1,Tier_4,U21,10Mto1M,75to84,65to74,EU
Ligue 1,2017,Primera Division,CM,Tier_1,Tier_2,U21,10Mto1M,75to84,65to74,EU
Primera Division,2017,Other,RW,Tier_3,Tier_4,U25,Below1M,75to84,65to74,EU
Primera Division,2018,Primera Division,RW,Tier_3,Tier_3,U25,10Mto1M,75to84,65to74,EU
Premier League,2017,Primera Division,CM,Tier_2,Tier_4,U30,40Mto10M,75to84,65to74,EU
Primera Division,2018,Premier League,CM,Tier_1,Tier_2,U30,10Mto1M,75to84,75to84,EU
Primera Division,2017,Other,CB,Tier_2,Tier_4,U25,Below1M,75to84,65to74,EU
Primera Division,2018,Primera Division,CB,Tier_3,Tier_2,U25,10Mto1M,75to84,65to74,EU
Primera Division,2017,Other,RB,Tier_3,Tier_4,U25,Below1M,75to84,65to74,EU
Liga Nos,2017,Liga Nos,CB,Tier_3,Tier_4,U30,10Mto1M,75to84,65to74,EU
Primera Division,2017,Primera Division,GK,Tier_3,Tier_4,U21,10Mto1M,75to84,65to74,EU
Primera Division,2017,Other,RW,Tier_3,Tier_4,U25,10Mto1M,75to84,below65,EU
Premier League,2018,Other,GK,Tier_2,Tier_4,U30,10Mto1M,75to84,65to74,EU
Primera Division,2018,Premier League,CB,Tier_4,Tier_2,U30,10Mto1M,75to84,75to84,EU
Premier League,2018,Primera Division,LB,Tier_2,Tier_1,U25,40Mto10M,75to84,65to74,EU
Primera Division,2018,Primera Division,LB,Tier_1,Tier_2,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2018,Premier League,RB,Tier_2,Tier_1,U21,10Mto1M,85above,65to74,EU
Primera Division,2018,Premier League,LW,Tier_1,Tier_1,U21,40Mto10M,85above,65to74,EU
Eredivisie,2018,Premier League,LB,Tier_2,Tier_1,U21,10Mto1M,75to84,65to74,EU
Premier League,2019,Eredivisie,LB,Tier_1,Tier_2,U25,40Mto10M,75to84,65to74,EU
1 Bundesliga,2018,Primera Division,CDM,Tier_2,Tier_1,U25,10Mto1M,75to84,65to74,EU
Primera Division,2018,Primera Division,CDM,Tier_1,Tier_3,U25,10Mto1M,75to84,65to74,EU
Primera Division,2018,Primera Division,GK,Tier_3,Tier_1,U25,10Mto1M,75to84,65to74,EU
Primera Division,2018,Liga Nos,CM,Tier_3,Tier_2,U30,10Mto1M,75to84,75to84,EU
Premier League,2018,Ligue 1,RB,Tier_2,Tier_1,U30,10Mto1M,75to84,65to74,EU
Primera Division,2018,Ligue 1,CM,Tier_4,Tier_2,U30,Below1M,65to74,65to74,EU
Primera Division,2018,Primera Division,CF,Tier_1,Tier_1,U25,Below1M,75to84,65to74,EU
Primera Division,2018,Primera Division,CM,Tier_3,Tier_2,U30,10Mto1M,75to84,75to84,EU
Primera Division,2018,Primera Division,CM,Tier_2,Tier_4,U21,10Mto1M,75to84,65to74,EU
Premier League,2018,Primera Division,RB,Tier_2,Tier_3,U25,10Mto1M,75to84,65to74,EU
Primera Division,2018,Primera Division,GK,Tier_1,Tier_2,A30,Below1M,75to84,65to74,EU
Serie A,2018,Primera Division,CM,Tier_1,Tier_2,U25,40Mto10M,75to84,65to74,EU
Primera Division,2018,Primera Division,CAM,Tier_4,Tier_4,U25,10Mto1M,75to84,65to74,EU
Primera Division,2018,Primera Division,CB,Tier_4,Tier_4,U25,Below1M,75to84,65to74,EU
Premier League,2018,Premier League,GK,Tier_1,Tier_3,U25,80Mto40M,85above,65to74,EU
Primera Division,2018,Primera Division,RB,Tier_1,Tier_2,U25,40Mto10M,75to84,65to74,EU
Primera Division,2018,Primera Division,CB,Tier_1,Tier_2,U30,10Mto1M,75to84,75to84,EU
Primera Division,2018,Primera Division,CF,Tier_3,Tier_2,U25,10Mto1M,75to84,65to74,EU
Primera Division,2019,Primera Division,CF,Tier_2,Tier_3,U30,40Mto10M,75to84,65to74,EU
Primera Division,2018,Primera Division,CB,Tier_3,Tier_4,U30,10Mto1M,75to84,75to84,EU
Primera Division,2018,Other,LB,Tier_4,Tier_4,U25,Below1M,65to74,65to74,EU
Primera Division,2018,Other,CF,Tier_4,Tier_4,U30,10Mto1M,65to74,65to74,EU
Primera Division,2018,Primera Division,RW,Tier_3,Tier_3,U30,10Mto1M,75to84,75to84,EU
Primera Division,2018,Other,CM,Tier_4,Tier_4,U21,Below1M,75to84,65to74,EU
Primera Division,2019,Primera Division,CF,Tier_3,Tier_4,A30,10Mto1M,65to74,65to74,EU
Primera Division,2019,Primera Division,CDM,Tier_1,Tier_1,U25,40Mto10M,85above,75to84,EU
Liga Nos,2019,Primera Division,CF,Tier_1,Tier_1,U25,40Mto10M,75to84,65to74,EU
Primera Division,2019,Liga Nos,LW,Tier_1,Tier_2,U25,10Mto1M,75to84,65to74,EU
Primera Division,2019,Liga Nos,GK,Tier_2,Tier_2,U21,10Mto1M,75to84,65to74,EU
Primera Division,2019,Ligue 1,CDM,Tier_3,Tier_2,U30,10Mto1M,75to84,75to84,EU
Primera Division,2019,Ligue 1,CAM,Tier_2,Tier_2,U30,10Mto1M,75to84,75to84,EU
Premier League,2019,Ligue 1,RB,Tier_1,Tier_2,U21,40Mto10M,85above,65to74,EU
Ligue 1,2019,Primera Division,RB,Tier_2,Tier_1,U25,10Mto1M,75to84,65to74,EU
Primera Division,2019,Primera Division,CF,Tier_3,Tier_1,U25,10Mto1M,75to84,65to74,EU
Primera Division,2019,Primera Division,CF,Tier_3,Tier_3,U30,10Mto1M,65to74,65to74,EU
Primera Division,2019,Primera Division,CM,Tier_3,Tier_3,U25,10Mto1M,75to84,65to74,EU
Primera Division,2019,Primera Division,LW,Tier_1,Tier_2,U21,10Mto1M,75to84,65to74,EU
Serie A,2019,Primera Division,LW,Tier_2,Tier_2,U30,10Mto1M,75to84,75to84,EU
Primera Division,2019,Primera Division,LB,Tier_2,Tier_4,U30,10Mto1M,75to84,65to74,EU
1 Bundesliga,2019,Primera Division,LB,Tier_2,Tier_3,U25,10Mto1M,75to84,75to84,EU
Primera Division,2019,Primera Division,CB,Tier_1,Tier_3,U25,40Mto10M,85above,65to74,EU
Primera Division,2019,Primera Division,CAM,Tier_3,Tier_3,U25,10Mto1M,75to84,65to74,EU
Serie A,2019,Primera Division,GK,Tier_1,Tier_2,U25,40Mto10M,85above,75to84,EU
Primera Division,2019,Primera Division,LB,Tier_1,Tier_2,U25,40Mto10M,75to84,65to74,EU
Primera Division,2019,Primera Division,RW,Tier_4,Tier_3,U30,Below1M,75to84,65to74,EU
Primera Division,2019,Primera Division,CM,Tier_3,Tier_4,U25,10Mto1M,75to84,65to74,EU
Primera Division,2019,Primera Division,LW,Tier_3,Tier_4,U25,10Mto1M,65to74,65to74,EU
Primera Division,2019,Primera Division,CB,Tier_1,Tier_4,U25,10Mto1M,75to84,65to74,EU
Primera Division,2019,Other,CF,Tier_3,Tier_4,U25,10Mto1M,75to84,65to74,EU
Primera Division,2019,Primera Division,CAM,Tier_3,Tier_3,U25,Below1M,75to84,65to74,EU
Primera Division,2019,Primera Division,CAM,Tier_1,Tier_3,U21,10Mto1M,75to84,below65,EU
Primera Division,2019,Other,LW,Tier_1,Tier_4,U25,10Mto1M,75to84,65to74,EU
1 Bundesliga,2009,Other,CB,Tier_3,Tier_4,U25,Below1M,below65,below65,EU
Premier League,2009,Other,CF,Tier_2,Tier_4,U30,Below1M,65to74,below65,EU
Eredivisie,2009,Other,CDM,Tier_3,Tier_4,U21,10Mto1M,75to84,below65,EU
Premier Liga,2012,Eredivisie,CDM,Tier_2,Tier_3,U25,10Mto1M,75to84,65to74,EU
